S_USAFire_FireshedReg_FireshedOBJECTID,S_USAFire_FireshedReg_FireshedAREA_HA,S_USAFire_FireshedReg_FireshedFIRESHED_ID,S_USAFire_FireshedReg_FireshedFIRESHED_NAME,S_USAFire_FireshedReg_FireshedFIRESHED_CODE,S_USAFire_FireshedReg_FireshedFIRESHED_STATE,S_USAFire_FireshedReg_FireshedNOPAS,S_USAFire_FireshedReg_Fireshed_ExpOBJECTID,S_USAFire_FireshedReg_Fireshed_ExpFSHED_ID,S_USAFire_FireshedReg_Fireshed_ExpEXP_TOTAL,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONCONIFER_HIHAZ,S_USAFire_FireshedReg_Fireshed_ExpDIST_VS,S_USAFire_FireshedReg_Fireshed_ExpCRISIS_STRATEGY,S_USAFire_FireshedReg_Fireshed_ExpKEY_PERFORMANCE_INDICATOR,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpSTART_DATE,S_USAFire_FireshedReg_Fireshed_ExpEND_DATE
4653,85614,4578,"Beaver Falls, Pennsylvania",beaver_falls_pa,PA,9,12245,4578,0.01730934,,0.01730934,,5.325e-05,,0.01725609,,0.01252472,,0.00478462,,,,0.01247147,,,,2021,,,,4040,,1000,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4654,102760,4579,"Reading, Pennsylvania",reading_pa,PA,11,12246,4579,0.32955337,,0.32955337,,0.00077912,,0.32877425,,0.11393359,,0.21561978,,,,0.11328222,,,,2021,,,,2790,,545,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4655,86547,4580,"Lebanon, Pennsylvania",lebanon_pa,PA,9,12247,4580,0.12233031,,0.12233031,,4.605e-05,,0.12228426,,0.05324764,,0.06908267,,,,0.05320159,,,,2021,,,,3315,,728,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4656,117107,4581,"Williamsburg, Iowa",williamsburg_ia,IA,11,12248,4581,0.44267681,,0.44267681,,0.03255939,,0.41011741,,0.07034903,,0.37232777,,,,0.0676203,,,,2021,,,,3154,,668,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4657,69867,4582,"Tiffin, Ohio",tiffin_oh,OH,7,12249,4582,0.04928,,0.04928,,0.00031072,,0.04896928,,0.00117654,,0.04810346,,,,0.00089274,,,,2021,,,,4758,,1283,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4658,97978,4583,"Newton, Iowa",newton_ia,IA,10,12250,4583,0.21406656,,0.21406656,,0.00651758,,0.20754898,,0.00321401,,0.21085255,,,,0.00271713,,,,2021,,,,4508,,1176,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4659,122122,4584,"Iowa City, Iowa",iowa_city_ia,IA,12,12251,4584,1.34038251,,1.34038251,,0.03056751,,1.309815,,0.21703306,,1.12334946,,,,0.20838043,,,,2021,,,,2340,,413,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4660,90279,4585,"Dalton, Nebraska",dalton_ne,NE,9,12252,4585,0.2886809,,0.2886809,,,,0.2886809,,,,0.2886809,,,,,,,,2021,,,,6969,,821,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4661,114890,4586,"Ottawa, Illinois",ottawa_il,IL,11,12253,4586,0.20961425,,0.20961426,,0.00154879,,0.20806546,,0.07610108,,0.13351317,,,,0.07458967,,,,2021,,,,3090,,645,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4662,89346,4587,"Arthur, Nebraska",arthur_ne,NE,9,12254,4587,0.75975413,,0.75975413,,0.01577173,,0.7439824,,,,0.75975413,,,,,,,0.01303414,2021,,,,6970,,822,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4663,97278,4588,"Muscatine, Iowa",muscatine_ia,IA,10,12255,4588,0.83711507,,0.83711507,,0.0218817,,0.81523337,,0.17130627,,0.66580881,,,,0.17116221,,,,2021,,,,2488,,456,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4664,85614,4589,"Bucktail, Nebraska",bucktail_ne,NE,9,12256,4589,0.38878817,,0.38878817,,,,0.38878817,,,,0.38878817,,,,,,,0.00046214,2021,,,,6971,,823,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4665,85730,4590,"Stapleton, Nebraska",stapleton_ne,NE,9,12257,4590,0.485,,0.485,,,,0.485,,2.233e-05,,0.48497767,,,,2.233e-05,,,0.00152106,2021,,,,5130,,400,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4666,79315,4591,"Greeley Center, Nebraska",greeley_center_ne,NE,8,12258,4591,0.07817384,,0.07817384,,,,0.07817384,,,,0.07817384,,,,,,,,2021,,,,6972,,824,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4667,97511,4592,"Blair, Nebraska",blair_ne,NE,10,12259,4592,0.97878333,,0.97878333,,0.01046301,,0.96832033,,0.05222764,,0.92655569,,,,0.05179346,,,,2021,,,,3334,,735,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4668,102410,4593,"Pella, Iowa",pella_ia,IA,10,12260,4593,0.18186319,,0.18186319,,0.00950529,,0.1723579,,0.01177881,,0.17008438,,,,0.00445928,,,,2021,,,,4391,,1135,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4669,97161,4594,"Oshkosh, Nebraska",oshkosh_ne,NE,10,12261,4594,1.26166558,,1.26166557,,0.04327517,,1.21839041,,,,1.26166557,,,,,,,2.077e-05,2021,,,,6973,,825,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4670,99494,4595,"Schuyler, Nebraska",schuyler_ne,NE,10,12262,4595,0.064916,,0.064916,,0.000354,,0.064562,,,,0.064916,,,,,,,,2021,,,,6974,,826,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4671,104743,4596,"Pittsburgh, Pennsylvania",pittsburgh_pa,PA,11,12263,4596,0.01753882,,0.01753882,,5.592e-05,,0.0174829,,0.00875293,,0.00878589,,,,0.00869701,,,,2021,,,,4188,,1065,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4672,107192,4597,"Canton, Ohio",canton_oh,OH,11,12264,4597,0.00048007,,0.00048007,,1.63e-06,,0.00047844,,4.867e-05,,0.0004314,,,,4.734e-05,,,,2021,,,,5087,,1398,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4673,112324,4598,"Louisville, Ohio",louisville_oh,OH,11,12265,4598,0.00011,,0.00011,,0,,0.00011,,2.22e-06,,0.00010778,,,,2.22e-06,,,,2021,,,,5192,,1439,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4674,100894,4599,"Allenport, Pennsylvania",allenport_pa,PA,10,12266,4599,0.2142701,,0.2142701,,1.652e-05,,0.21425357,,0.16519815,,0.04907195,,,,0.16518163,,,,2021,,,,2519,,464,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4675,97394,4600,"Potter, Nebraska",potter_ne,NE,10,12267,4600,0.32735,,0.32735,,,,0.32735,,,,0.32735,,,,,,,,2021,,,,6975,,827,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4676,100894,4601,"Neola, Iowa",neola_ia,IA,10,12268,4601,0.04149999,,0.04149999,,,,0.04149999,,,,0.04149999,,,,,,,,2021,,,,6976,,1635,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4677,110458,4602,"Atlantic, Iowa",atlantic_ia,IA,11,12269,4602,0.04506701,,0.04506701,,5.522e-05,,0.04501179,,2.47e-06,,0.04506454,,,,1.2e-06,,,,2021,,,,5201,,1442,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4678,70217,4603,"New Sharon, Iowa",new_sharon_ia,IA,7,12270,4603,0.06545025,,0.06545025,,0.00237788,,0.06307236,,0.00120288,,0.06424737,,,,0.00044617,,,,2021,,,,4868,,1321,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4679,111391,4604,"New Haven, Indiana",new_haven_in,IN,11,12271,4604,0,,0,,,,0,,,,0,,,,,,,,2021,,,,6977,,1636,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4680,90979,4605,"York, Pennsylvania",york_pa,PA,9,12272,4605,0.18094385,,0.18094385,,0.00163947,,0.17930437,,0.05491032,,0.12603353,,,,0.05338809,,,,2021,,,,3310,,724,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4681,97394,4606,"Coatesville, Pennsylvania",coatesville_pa,PA,10,12273,4606,0.55590377,,0.55590377,,0.00416453,,0.55173924,,0.11036127,,0.4455425,,,,0.10711781,,,,2021,,,,2831,,556,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4682,108475,4607,"Glassboro, New Jersey",glassboro_nj,NJ,11,12274,4607,36.73054173,,36.73054173,,4.06686314,,32.66367859,,7.70839368,,29.02214805,,,,6.18968416,,,,2021,,,,346,,30,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4683,87363,4608,"Cedar Rapids, Nebraska",cedar_rapids_ne,NE,9,12275,4608,0.0966164,,0.0966164,,,,0.0966164,,,,0.0966164,,,,,,,,2021,,,,6978,,828,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4684,98677,4609,"Fort Wayne, Indiana",fort_wayne_in,IN,10,12276,4609,0,,0,,0,,0,,0,,0,,,,0,,,,2021,,,,6979,,1637,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4685,96111,4610,"Mansfield, Ohio",mansfield_oh,OH,10,12277,4610,0.05102969,,0.05102968,,2.067e-05,,0.05100902,,0.0144139,,0.03661579,,,,0.01439433,,,,2021,,,,3972,,971,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4686,82348,4611,"North Bend, Nebraska",north_bend_ne,NE,9,12278,4611,0.10832944,,0.10832944,,,,0.10832944,,,,0.10832944,,,,,,,,2021,,,,6980,,829,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4687,104743,4612,"Columbus Junction, Iowa",columbus_junction_ia,IA,11,12279,4612,0.6227054,,0.6227054,,0.03410871,,0.58859669,,0.07835035,,0.54435505,,,,0.0773457,,,,2021,,,,3064,,635,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4688,96928,4613,"Findlay, Ohio",findlay_oh,OH,10,12280,4613,0.07315338,,0.07315338,,3.84e-05,,0.07311499,,8.849e-05,,0.0730649,,,,8.849e-05,,,,2021,,,,5040,,1383,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4689,79082,4614,"Loudonville, Ohio",loudonville_oh,OH,8,12281,4614,0.00268093,,0.00268093,,6.775e-05,,0.00261318,,0.00087032,,0.00181061,,,,0.00081602,,,,2021,,,,4782,,1291,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4690,110691,4615,"Anita, Iowa",anita_ia,IA,11,12282,4615,0.06476873,,0.06476873,,0.00051441,,0.06425432,,1.282e-05,,0.06475591,,,,,,,,2021,,,,6981,,1638,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4691,116523,4616,"Wilmington, Delaware",wilmington_de,DE,12,12283,4616,3.812188,,3.812188,,0.04790758,,3.76428042,,0.7535127,,3.0586753,,,,0.72286538,,,,2021,,,,1435,,205,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4692,111275,4617,"Diamond Bar Lake, Nebraska",diamond_bar_lake_ne,NE,11,12284,4617,0.19382239,,0.19382239,,,,0.19382239,,,,0.19382239,,,,,,,0,2021,,,,6982,,830,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4693,100427,4618,"Broken Bow, Nebraska",broken_bow_ne,NE,11,12285,4618,0.74970134,,0.74970134,,,,0.74970134,,,,0.74970134,,,,,,,0.00014662,2021,,,,6983,,831,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4694,92379,4619,"Fullerton, Nebraska",fullerton_ne,NE,9,12286,4619,0.07833142,,0.07833142,,0.00077417,,0.07755725,,0,,0.07833142,,,,,,,,2021,,,,6984,,832,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4695,75116,4620,"Peru, Illinois",peru_il,IL,8,12287,4620,0.04969022,,0.04969022,,0.00150591,,0.04818431,,0.00938791,,0.0403023,,,,0.00790203,,,,2021,,,,4219,,1077,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4696,123872,4621,"Wooster, Ohio",wooster_oh,OH,12,12288,4621,0.00105,,0.00105,,2.08e-06,,0.00104792,,8.736e-05,,0.00096264,,,,8.528e-05,,,,2021,,,,5044,,1386,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4697,81181,4622,"East Liverpool, Ohio",east_liverpool_oh,OH,8,12289,4622,0.00332053,,0.00332053,,4.007e-05,,0.00328047,,0.00229849,,0.00102204,,,,0.00225932,,,,2021,,,,4551,,1193,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4698,99611,4623,"Spring Valley, Illinois",spring_valley_il,IL,10,12290,4623,0.01215797,,0.01215797,,0.00030088,,0.01185709,,0.00214244,,0.01001553,,,,0.00211058,,,,2021,,,,4569,,1201,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4699,120956,4624,"Winamac, Indiana",winamac_in,IN,12,12291,4624,0.2178162,,0.2178162,,0.00414934,,0.21366687,,0.01096531,,0.2068509,,,,0.00907758,,,,2021,,,,4176,,1060,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4700,102760,4625,"Rochester, Indiana",rochester_in,IN,10,12292,4625,0.00011,,0.00011,,0,,0.00011,,0,,0.00011,,,,0,,,,2021,,,,6985,,1639,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4701,108592,4626,"Columbia City, Indiana",columbia_city_in,IN,11,12293,4626,0,,0,,0,,0,,0,,0,,,,0,,,,2021,,,,6986,,1640,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4702,101010,4627,"Van Wert, Ohio",van_wert_oh,OH,10,12294,4627,0.00058862,,0.00058862,,,,0.00058862,,,,0.00058862,,,,,,,,2021,,,,6987,,1641,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4703,91096,4628,"Upper Sandusky, Ohio",upper_sandusky_oh,OH,9,12295,4628,0.07518088,,0.07518088,,0.00211066,,0.07307022,,0.00240401,,0.07277687,,,,0.00125206,,,,2021,,,,4701,,1257,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4704,82931,4629,"Wellsville, Ohio",wellsville_oh,OH,8,12296,4629,2e-05,,2e-05,,0,,2e-05,,1.809e-05,,1.91e-06,,,,1.809e-05,,,,2021,,,,5136,,1421,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4705,77682,4630,"Argos, Indiana",argos_in,IN,8,12297,4630,0.02103,,0.02103,,5.842e-05,,0.02097157,,0.00474066,,0.01628934,,,,0.00474066,,,,2021,,,,4368,,1127,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4706,120956,4631,"Princeton, Illinois",princeton_il,IL,12,12298,4631,0.00049998,,0.00049998,,2.5e-07,,0.00049973,,9.067e-05,,0.00040931,,,,9.055e-05,,,,2021,,,,5038,,1381,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4707,90746,4632,"Carlisle, Pennsylvania",carlisle_pa,PA,9,12299,4632,0.17335681,,0.17335681,,0.00201673,,0.17134008,,0.06451998,,0.10883683,,,,0.06251651,,,,2021,,,,3200,,687,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4708,108359,4633,"Ottawa, Ohio",ottawa_oh,OH,11,12300,4633,0.01760893,,0.01760893,,7.321e-05,,0.01753571,,0.00014865,,0.01746028,,,,8.616e-05,,,,2021,,,,5042,,1385,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4709,92146,4634,"Johnstown, Pennsylvania",johnstown_pa,PA,9,12301,4634,0.38968927,,0.38968927,,0.00152173,,0.38816753,,0.3025208,,0.08716846,,,,0.30103027,,,,2021,,,,2068,,337,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4710,68584,4635,"Hollidaysburg, Pennsylvania",hollidaysburg_pa,PA,7,12302,4635,0.54442402,,0.54442402,,0.00236381,,0.54206022,,0.3726508,,0.17177323,,,,0.37028699,,,,2021,,,,1909,,301,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4711,92845,4636,"Columbus, Nebraska",columbus_ne,NE,9,12303,4636,0.06056667,,0.06056667,,0.00017466,,0.06039201,,,,0.06056667,,,,,,,,2021,,,,6988,,833,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4712,118273,4637,"Monroeville, Pennsylvania",monroeville_pa,PA,12,12304,4637,0.01575954,,0.01575953,,1.348e-05,,0.01574605,,0.01076274,,0.00499679,,,,0.01075713,,,,2021,,,,4112,,1028,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4713,100077,4638,"Latrobe, Pennsylvania",latrobe_pa,PA,10,12305,4638,0.04154603,,0.04154603,,0.00043419,,0.04111184,,0.03387673,,0.0076693,,,,0.03344724,,,,2021,,,,3595,,833,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4714,136585,4639,"Joliet, Illinois",joliet_il,IL,14,12306,4639,0.42693777,0.00695665,0.41998112,0.00036154,0.05045774,0.0065951,0.36952338,0.00013841,0.04715551,0.00681824,0.37282561,,,0.00013841,0.03906231,,,,2021,,,1629,3501,182,800,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4715,119323,4640,"Des Moines, Iowa",des_moines_ia,IA,12,12307,4640,1.07847979,,1.07847979,,0.0245693,,1.05391048,,0.07351701,,1.00496277,,,,0.07204901,,,,2021,,,,3108,,650,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4716,118156,4641,"Bucyrus, Ohio",bucyrus_oh,OH,12,12308,4641,0.17369,,0.17369,,0.00011902,,0.17357098,,0.00684041,,0.16684959,,,,0.00673932,,,,2021,,,,4257,,1092,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4717,112674,4642,"Roselawn, Indiana",roselawn_in,IN,11,12309,4642,0.45753233,,0.45753233,,0.0155592,,0.44197313,,0.04741696,,0.41011537,,,,0.03612743,,,,2021,,,,3548,,816,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4718,98328,4643,"Arcadia, Nebraska",arcadia_ne,NE,10,12310,4643,0.38034581,,0.38034581,,,,0.38034581,,,,0.38034581,,,,,,,,2021,,,,6989,,834,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4719,99494,4644,"Lancaster, Pennsylvania",lancaster_pa,PA,10,12311,4644,0.24644547,,0.24644547,,0.00209625,,0.24434922,,0.05176288,,0.19468259,,,,0.05022022,,,,2021,,,,3351,,741,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4720,130987,4645,"Tryon, Nebraska",tryon_ne,NE,13,12312,4645,0.479,,0.479,,,,0.479,,,,0.479,,,,,,,0.00098694,2021,,,,6990,,835,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4721,133786,4646,"Kankakee, Illinois",kankakee_il,IL,13,12313,4646,0.18329907,4.95e-06,0.18329412,,0.02316235,4.95e-06,0.16013177,,0.02393245,4.95e-06,0.15936167,,,,0.00491489,,,,2021,,,,4351,,1121,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4722,111974,4647,"Roaring Spring, Pennsylvania",roaring_spring_pa,PA,11,12314,4647,0.26912188,,0.26912188,,0.00087332,,0.26824856,,0.21162757,,0.05749431,,,,0.21075426,,,,2021,,,,2334,,408,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4723,121656,4648,"Moline, Illinois",moline_il,IL,12,12315,4648,0.69797332,,0.69797332,,0.00534498,,0.69262835,,0.16570207,,0.53227125,,,,0.16361216,,,,2021,,,,2526,,466,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4724,93895,4649,"Stuart, Iowa",stuart_ia,IA,9,12316,4649,0.10612997,,0.10612997,,0.0002312,,0.10589876,,0.00989187,,0.09623809,,,,0.00989026,,,,2021,,,,4142,,1039,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4725,85964,4650,"West Des Moines, Iowa",west_des_moines_ia,IA,9,12317,4650,0.37349601,,0.37349601,,0.00570993,,0.36778608,,0.03691686,,0.33657915,,,,0.03349557,,,,2021,,,,3594,,832,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4726,108592,4651,"Loup City, Nebraska",loup_city_ne,NE,11,12318,4651,0.25624784,,0.25624784,,,,0.25624784,,1.353e-05,,0.2562343,,,,1.353e-05,,,,2021,,,,5149,,404,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4727,124921,4652,"Sunol, Nebraska",sunol_ne,NE,13,12319,4652,0.53381354,,0.53381354,,,,0.53381354,,,,0.53381354,,,,,,,,2021,,,,6991,,836,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4728,89813,4653,"Fremont, Nebraska",fremont_ne,NE,9,12320,4653,0.2595724,,0.2595724,,,,0.2595724,,0.00218801,,0.25738438,,,,0.00218801,,,,2021,,,,4561,,331,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4729,115824,4654,"Sigourney, Iowa",sigourney_ia,IA,12,12321,4654,0.23932926,,0.23932926,,0.0005904,,0.23873887,,0.00685925,,0.23247002,,,,0.00648031,,,,2021,,,,4271,,1097,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4730,125271,4655,"Arnold, Nebraska",arnold_ne,NE,13,12322,4655,0.49982853,,0.49982853,,,,0.49982853,,,,0.49982853,,,,,,,0.00087381,2021,,,,6992,,837,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4731,114540,4656,"Knoxville, Iowa",knoxville_ia,IA,11,12323,4656,0.35714968,,0.35714968,,0.01971229,,0.33743739,,0.03701561,,0.32013408,,,,0.03422993,,,,2021,,,,3580,,826,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4732,111275,4657,"Shippensburg, Pennsylvania",shippensburg_pa,PA,11,12324,4657,0.25378011,,0.25378011,,0.0017856,,0.25199451,,0.05436301,,0.1994171,,,,0.05260503,,,,2021,,,,3326,,733,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4733,77099,4658,"Washington, Iowa",washington_ia,IA,8,12325,4658,0.28595523,,0.28595523,,0.00193045,,0.28402478,,0.01500595,,0.27094928,,,,0.01402642,,,,2021,,,,3984,,977,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4734,130520,4659,"Kewanee, Illinois",kewanee_il,IL,13,12326,4659,0.08167504,,0.08167505,,0.00027521,,0.08139983,,0.00818958,,0.07348546,,,,0.00817225,,,,2021,,,,4209,,1070,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4735,100194,4660,"Lowell, Indiana",lowell_in,IN,10,12327,4660,0.32341793,,0.32341793,,0.02640493,,0.297013,,0.04137302,,0.28204491,,,,0.03402044,,,,2021,,,,3583,,828,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4736,81765,4661,"Hanover, Pennsylvania",hanover_pa,PA,8,12328,4661,0.06865593,,0.06865593,,0.00072778,,0.06792815,,0.00892165,,0.05973428,,,,0.00841464,,,,2021,,,,4198,,1067,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4737,119906,4662,"Ogallala, Nebraska",ogallala_ne,NE,11,12329,4662,1.80148608,,1.80148608,,0.04927369,,1.75221238,,,,1.80148608,,,,,,,,2021,,,,6993,,838,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4738,77332,4663,"Oskaloosa, Iowa",oskaloosa_ia,IA,8,12330,4663,0.10581644,,0.10581644,,0.00120432,,0.10461212,,0.00201725,,0.10379919,,,,0.00182053,,,,2021,,,,4597,,1212,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4739,91912,4664,"Atlantic City, New Jersey",atlantic_city_nj,NJ,11,12331,4664,30.50226493,,30.50226493,,6.23628192,,24.26598301,,7.58194066,,22.92032427,,,,7.10257105,,,,2021,,,,304,,27,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4740,121072,4665,"Valparaiso, Nebraska",valparaiso_ne,NE,12,12332,4665,0.10741354,,0.10741353,,0.00018187,,0.10723166,,0.0023343,,0.10507924,,,,0.0023343,,,,2021,,,,4547,,325,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4741,92496,4666,"Streator, Illinois",streator_il,IL,9,12333,4666,0.04025299,,0.04025299,,,,0.04025299,,0.00145661,,0.03879638,,,,0.00145661,,,,2021,,,,4657,,1240,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4742,125038,4667,"Bethel Park, Pennsylvania",bethel_park_pa,PA,12,12334,4667,0.01208072,,0.01208072,,5.58e-06,,0.01207514,,0.00651969,,0.00556103,,,,0.00651411,,,,2021,,,,4270,,1096,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4743,104859,4668,"Dwight, Illinois",dwight_il,IL,11,12335,4668,0.01322992,,0.01322992,,,,0.01322992,,,,0.01322992,,,,,,,,2021,,,,6994,,1642,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4744,101010,4669,"Griswold, Iowa",griswold_ia,IA,10,12336,4669,0.06159554,,0.06159554,,6.751e-05,,0.06152802,,0.00187367,,0.05972187,,,,0.00187367,,,,2021,,,,4593,,1211,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4745,102410,4670,"Mount Vernon, Ohio",mount_vernon_oh,OH,10,12337,4670,0.03474,,0.03474,,0.00015385,,0.03458614,,0.01320544,,0.02153456,,,,0.01311732,,,,2021,,,,4018,,993,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4746,99494,4671,"Hedrick, Iowa",hedrick_ia,IA,10,12338,4671,0.06195233,,0.06195232,,0.00043505,,0.06151727,,0.00248357,,0.05946875,,,,0.0024749,,,,2021,,,,4534,,1187,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4747,85264,4672,"Toluca, Illinois",toluca_il,IL,9,12339,4672,0.00807795,,0.00807795,,8.208e-05,,0.00799587,,0.00266803,,0.00540992,,,,0.00259187,,,,2021,,,,4526,,1185,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
4748,90979,4673,"Bluffton, Indiana",bluffton_in,IN,9,12340,4673,0,,0,,0,,0,,0,,0,,,,0,,,,2021,,,,6995,,1643,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
