S_USAFire_FireshedReg_FireshedOBJECTID,S_USAFire_FireshedReg_FireshedAREA_HA,S_USAFire_FireshedReg_FireshedFIRESHED_ID,S_USAFire_FireshedReg_FireshedFIRESHED_NAME,S_USAFire_FireshedReg_FireshedFIRESHED_CODE,S_USAFire_FireshedReg_FireshedFIRESHED_STATE,S_USAFire_FireshedReg_FireshedNOPAS,S_USAFire_FireshedReg_Fireshed_ExpOBJECTID,S_USAFire_FireshedReg_Fireshed_ExpFSHED_ID,S_USAFire_FireshedReg_Fireshed_ExpEXP_TOTAL,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_PROTECTED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGED,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_FOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_CONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDFOREST,S_USAFire_FireshedReg_Fireshed_ExpEXP_USFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_MANAGEDCONIFER,S_USAFire_FireshedReg_Fireshed_ExpEXP_NONFS_NONCONIFER_HIHAZ,S_USAFire_FireshedReg_Fireshed_ExpDIST_VS,S_USAFire_FireshedReg_Fireshed_ExpCRISIS_STRATEGY,S_USAFire_FireshedReg_Fireshed_ExpKEY_PERFORMANCE_INDICATOR,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpNATIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_USFS_RANK,S_USAFire_FireshedReg_Fireshed_ExpREGIONAL_ALL_LAND_RANK,S_USAFire_FireshedReg_Fireshed_ExpSTART_DATE,S_USAFire_FireshedReg_Fireshed_ExpEND_DATE
6636,92029,6561,"Dumas, Arkansas",dumas_ar,AR,9,14228,6561,0.03080881,,0.03080881,,2.1e-06,,0.0308067,,0.0082192,,0.02258961,,,,0.0082192,,,,2021,,,,4207,,1636,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6637,92379,6562,"Grenada, Mississippi",grenada_ms,MS,10,14229,6562,0.82869993,,0.82869993,,0.000288,,0.82841193,,0.47972603,,0.3489739,,,,0.47965961,,,,2021,,,,1704,,830,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6638,92729,6563,"Terral, Oklahoma",terral_ok,OK,9,14230,6563,3.06122297,,3.06122297,,,,3.06122297,,0.02664707,,3.0345759,,,,0.02664707,,,,2021,,,,3706,,1555,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6639,98211,6564,"Sparkman, Arkansas",sparkman_ar,AR,10,14231,6564,0.06631324,,0.06631324,,0.00505717,,0.06125606,,0.03800657,,0.02830667,,,,0.03316106,,,,2021,,,,3599,,1529,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6640,73600,6565,"Leeds, Alabama",leeds_al,AL,7,14232,6565,1.44449592,,1.44449592,,0.00137364,,1.44312227,,0.99601552,,0.44848039,,,,0.99464188,,,,2021,,,,1221,,607,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6641,110225,6566,"Cleveland, Mississippi",cleveland_ms,MS,11,14233,6566,0.08307704,,0.08307704,,0.00029737,,0.08277967,,,,0.08307704,,,,,,,,2021,,,,7393,,1915,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6642,90746,6567,"Adgateville, Georgia",adgateville_ga,GA,9,14234,6567,0.04815628,0.00178404,0.04637224,0.00030597,0.00044371,0.00147811,0.04592853,0.00174033,0.03800579,4.37e-05,0.00836646,,,0.0014344,0.03765027,,,,2021,,,1464,3504,276,1496,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6643,88180,6568,"Vidette, Georgia",vidette_ga,GA,8,14235,6568,0.11283882,,0.11283882,,0.00395117,,0.10888765,,0.0099037,,0.10293512,,,,0.00873832,,,,2021,,,,4187,,1633,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6644,103226,6569,"Milledgeville, Georgia",milledgeville_ga,GA,10,14236,6569,0.20113538,0.00274528,0.1983901,0.00164667,0.00075058,0.00109861,0.19763953,0.00274301,0.1358453,2.27e-06,0.06254479,,,0.00109861,0.13526552,,,,2021,,,1489,2648,281,1252,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6645,101244,6570,"Fordyce, Arkansas",fordyce_ar,AR,10,14237,6570,0.09100769,,0.09100769,,0.0003264,,0.09068129,,0.06234934,,0.02865835,,,,0.062146,,,,2021,,,,3208,,1424,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6646,66018,6571,"Louisville, Georgia",louisville_ga,GA,7,14238,6571,0.13546093,,0.13546093,,3.518e-05,,0.13542576,,0.03757049,,0.09789044,,,,0.03757049,,,,2021,,,,3527,,1506,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6647,88646,6572,"Birmingham, Alabama",birmingham_al,AL,9,14239,6572,4.61685925,,4.61685925,,0.01295925,,4.60389999,,2.18328415,,2.4335751,,,,2.1703249,,,,2021,,,,767,,355,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6648,113607,6573,"Broadway, Texas",broadway_tx,TX,11,14240,6573,0.8814,,0.8814,,,,0.8814,,,,0.8814,,,,,,,,2021,,,,7394,,1916,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6649,95761,6574,"Roaring Springs, Texas",roaring_springs_tx,TX,10,14241,6574,8.40044917,,8.40044917,,,,8.40044917,,,,8.40044917,,,,,,,,2021,,,,7395,,1917,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6650,91562,6575,"Black Flat, Texas",black_flat_tx,TX,9,14242,6575,4.66653606,,4.66653606,,,,4.66653606,,,,4.66653606,,,,,,,,2021,,,,7396,,1918,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
6651,98561,6576,"Bearden, Arkansas",bearden_ar,AR,10,14243,6576,0.16321457,,0.16321457,,,,0.16321457,,0.0683212,,0.09489337,,,,0.0683212,,,,2021,,,,3149,,1408,2021/01/01 00:00:00+00,9999/01/01 00:00:00+00
